Total batting points
177
1)  Vladimir Guerrero Jr.  577  
2)  Juan Soto  535  
3)  Jose Ramirez  523  
4)  Marcus Semien  504  
5)  Matt Olson  496  
6)  Freddie Freeman  491  
7)  Jose Altuve  474  
8)  Trea Turner  466  
9)  Bryce Harper  464  
10)  Bo Bichette  461  
11)  Rafael Devers  456  
12)  Ozzie Albies  455  
13)  Paul Goldschmidt  454  
14)  Shohei Ohtani  454  
15)  Manny Machado  447  
16)  Bryan Reynolds  436  
17)  Nolan Arenado  435  
18)  Kyle Tucker  434  
19)  Jorge Polanco  429  
20)  Cedric Mullins II  426  
21)  Nick Castellanos  424  
22)  Carlos Correa  424  
23)  Fernando Tatis Jr.  422  
24)  Max Muncy  416  
25)  Whit Merrifield  410  
26)  Aaron Judge  409  
27)  Salvador Perez  405  
28)  Pete Alonso  402  
29)  Yuli Gurriel  401  
30)  Mitch Haniger  397  
31)  Teoscar Hernandez  396  
32)  Jake Cronenworth  395  
33)  Austin Riley  395  
34)  Jose Abreu  394  
35)  Justin Turner  391  
36)  J.D. Martinez  391  
37)  Yordan Alvarez  387  
38)  Xander Bogaerts  384  
39)  Brandon Lowe  384  
40)  Brandon Crawford  383  
41)  Joey Votto  375  
42)  Mookie Betts  370  
43)  Tommy Edman  368  
44)  Josh Bell  364  
45)  Austin Meadows  364  
46)  Jesse Winker  362  
47)  Hunter Renfroe  361  
48)  C.J. Cron  355  
49)  Jonathan India  353  
50)  Adam Frazier  352  
51)  Ty France  352  
52)  Eduardo Escobar  351  
53)  Starling Marte  349  
54)  Robbie Grossman  349  
55)  Nelson Cruz Jr.  348  
56)  Jonathan Schoop  346  
57)  Trevor Story  345  
58)  Alex Verdugo  344  
59)  Kris Bryant  343  
60)  DJ LeMahieu  340  
61)  Kyle Seager  339  
62)  Jared Walsh  336  
63)  Charlie Blackmon  331  
64)  Giancarlo Stanton  330  
65)  Jean Segura  328  
66)  Andrew McCutchen  327  
67)  Enrique Hernandez  324  
68)  Dansby Swanson  324  
69)  Tyler O'Neill  324  
70)  Anthony Rizzo  323  
71)  Tim Anderson  323  
72)  J.P. Crawford  323  
73)  Josh Donaldson  322  
74)  Luis Urias  322  
75)  Ryan McMahon  321  
76)  Jeimer Candelario  319  
77)  Mark Canha  316  
78)  Carlos Santana  314  
79)  Isiah Kiner-Falefa  312  
80)  Randy Arozarena  312  
81)  Will Smith  312  
82)  Ryan Mountcastle  310  
83)  David Fletcher  310  
84)  Lourdes Gurriel Jr.  310  
85)  Kyle Schwarber  306  
86)  Myles Straw  306  
87)  Nicky Lopez  306  
88)  Avisail Garcia  305  
89)  Nathaniel Lowe  304  
90)  Michael Brantley Jr.  301  
91)  Jesus Aguilar  301  
92)  Andrew Benintendi  301  
93)  Joey Gallo  299  
94)  Adam Duvall  298  
95)  Chris Taylor  296  
96)  Trey Mancini III  296  
97)  Willy Adames  295  
98)  Francisco Lindor  294  
99)  Austin Hays  294  
100)  Jorge Soler  292  
101)  Cesar Hernandez  291  
102)  Yandy Diaz  291  
103)  Buster Posey III  290  
104)  Raimel Tapia  290  
105)  Dylan Carlson  288  
106)  AJ Pollock  287  
107)  Josh Harrison  285  
108)  Adolis Garcia  285  
109)  Miguel Rojas  284  
110)  Mike Yastrzemski  284  
111)  Amed Rosario  283  
112)  Rhys Hoskins  283  
113)  Kolten Wong  279  
114)  Yoan Moncada  279  
115)  J.T. Realmuto  278  
116)  Javier Baez  277  
117)  Eric Hosmer  273  
118)  David Peralta  272  
119)  Wilmer Flores  270  
120)  Tommy Pham  269  
121)  Randal Grichuk  269  
122)  Trent Grisham  262  
123)  Max Kepler  259  
124)  Franmil Reyes  258  
125)  Luis Arraez  258  
126)  Odubel Herrera  255  
127)  Pavin Smith  255  
128)  Jose Iglesias  253  
129)  Manuel Margot  253  
130)  Tyler Naquin  252  
131)  Eugenio Suarez  251  
132)  Kyle Farmer  251  
133)  Jed Lowrie  247  
134)  Ian Happ  246  
135)  Eddie Rosario  245  
136)  Joey Wendle  244  
137)  Josh Rojas  242  
138)  Kevin Newman  241  
139)  Matt Chapman  241  
140)  Miguel Sano  240  
141)  Christian Yelich  236  
142)  Akil Baddoo  236  
143)  Wil Myers  232  
144)  Jazz Chisholm Jr.  232  
145)  Gleyber Torres  229  
146)  Miguel Cabrera  227  
147)  Yadier Molina  222  
148)  Jonathan Villar  222  
149)  Joc Pederson  221  
150)  Leury Garcia  220  
151)  Elvis Andrus  219  
152)  Michael Conforto  219  
153)  Christian Vazquez  218  
154)  Willson Contreras  218  
155)  Omar Narvaez  217  
156)  Brendan Rodgers  217  
157)  Andrew Vaughn  210  
158)  Bobby Dalbec  208  
159)  Garrett Hampson  206  
160)  Nick Solak  206  
161)  Anthony Santander  203  
162)  Gary Sanchez  201  
163)  Jeff McNeil  196  
164)  Hunter Dozier  195  
165)  Sean Murphy  191  
166)  Brett Gardner  190  
167)  Michael A. Taylor  187  
168)  Christian Walker  186  
169)  Dominic Smith  185  
170)  Gio Urshela  179  
171)  Nick Ahmed  168  
172)  Maikel Franco  165  
173)  Willi Castro  162  
174)  Andrelton Simmons  152  
175)  Pedro Severino  148  
176)  Alec Bohm  147  
177)  Jackie Bradley Jr.  72  
