last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Cabrera, Miguel,408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,.256,.386,.316,.701,75,200,182,0,48,.305,
Cruz Jr., Nelson,443558,2021,41,513,584,136,82,21,1,32,126,51,21.6,8.7,.265,.497,.332,.829,86,219,255,3,79,.346,
Peralta, David,444482,2021,34,487,538,126,80,30,8,8,92,46,17.1,8.6,.259,.402,.325,.728,63,214,196,2,57,.314,
Blackmon, Charlie,453568,2021,35,514,582,139,97,25,4,13,91,54,15.6,9.3,.270,.411,.351,.761,78,231,211,3,76,.333,
McCutchen, Andrew,457705,2021,35,482,574,107,55,24,1,27,132,81,23.0,14.1,.222,.444,.334,.778,80,200,214,6,78,.335,
Turner, Justin,457759,2021,37,533,612,148,99,22,0,27,98,61,16.0,10.0,.278,.471,.361,.832,87,241,251,3,87,.358,
Votto, Joey,458015,2021,38,448,533,119,59,23,1,36,127,77,23.8,14.4,.266,.563,.375,.938,99,194,252,1,73,.391,
Andrus, Elvis,462101,2021,33,497,541,121,91,25,2,3,81,31,15.0,5.7,.243,.320,.292,.612,37,220,159,13,60,.270,
Santana, Carlos,467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,.214,.342,.319,.660,69,251,193,2,66,.294,
Lowrie, Jed,476704,2021,37,457,512,112,70,28,0,14,108,49,21.1,9.6,.245,.398,.318,.717,69,187,182,0,55,.311,
Brantley Jr., Michael,488726,2021,34,469,508,146,106,29,3,8,53,33,10.4,6.5,.311,.437,.362,.799,47,178,205,1,68,.347,
Gurriel, Yuli,493329,2021,37,530,605,169,123,31,0,15,68,59,11.2,9.8,.319,.462,.383,.846,81,202,245,1,83,.363,
Rojas, Miguel,500743,2021,32,495,539,131,89,30,3,9,74,37,13.7,6.9,.265,.392,.321,.713,48,161,194,13,66,.311,
Escobar, Eduardo,500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8.0,.253,.472,.314,.786,90,255,259,1,77,.334,
Pham, Tommy,502054,2021,33,475,561,109,68,24,2,15,128,78,22.8,13.9,.229,.383,.340,.724,49,202,182,14,74,.318,
Martinez, J.D.,502110,2021,34,570,634,163,90,42,3,28,150,55,23.7,8.7,.286,.518,.349,.866,99,243,295,0,92,.364,
Goldschmidt, Paul,502671,2021,34,603,679,177,108,36,2,31,136,67,20.0,9.9,.294,.514,.365,.879,99,232,310,12,102,.373,
Altuve, Jose,514888,2021,31,601,678,167,103,32,1,31,91,66,13.4,9.7,.278,.489,.350,.839,83,193,294,5,117,.357,
Hernandez, Cesar,514917,2021,31,570,637,132,88,21,2,21,135,59,21.2,9.3,.232,.386,.308,.694,62,207,220,1,84,.302,
Segura, Jean,516416,2021,31,514,567,149,105,27,3,14,78,39,13.8,6.9,.290,.436,.347,.783,58,200,224,9,76,.338,
