last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,
Pujols, Albert,405395,2021,41,275,296,65,45,3,0,17,45,14,15.2,4.7,.236,.433,.284,.717,.302,
Cabrera, Miguel,408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,.256,.386,.316,.701,.305,
Rivera, Rene,425784,2021,38,69,78,16,11,3,0,2,29,4,37.2,5.1,.232,.362,.282,.644,.288,
Wainwright, Adam,425794,2021,40,57,74,7,5,2,0,0,25,3,33.8,4.1,.123,.158,.135,.293,.149,
Molina, Yadier,425877,2021,39,440,473,111,81,19,0,11,79,24,16.7,5.1,.252,.370,.296,.666,.290,
Suzuki, Kurt,435559,2021,38,219,247,49,35,8,0,6,44,12,17.8,4.9,.224,.342,.291,.634,.282,
Cruz Jr., Nelson,443558,2021,41,513,584,136,82,21,1,32,126,51,21.6,8.7,.265,.497,.332,.829,.346,
Peralta, David,444482,2021,34,487,538,126,80,30,8,8,92,46,17.1,8.6,.259,.402,.325,.728,.314,
Pina, Manny,444489,2021,34,180,208,34,15,6,0,13,38,22,18.3,10.6,.189,.439,.293,.732,.315,
Escobar, Alcides,444876,2021,35,319,349,92,65,21,2,4,56,17,16.0,4.9,.288,.404,.338,.742,.326,
Longoria, Evan,446334,2021,36,253,291,66,36,17,0,13,68,35,23.4,12.0,.261,.482,.351,.833,.352,
Morton, Charlie,450203,2021,38,55,62,7,6,1,0,0,31,0,50.0,0.0,.127,.145,.113,.258,.118,
Lester, Jon,452657,2021,37,48,51,8,5,2,0,1,24,2,47.1,3.9,.167,.271,.196,.467,.205,
Cabrera, Asdrubal,452678,2021,36,309,352,71,43,21,0,7,80,36,22.7,10.2,.230,.366,.313,.678,.297,
Scherzer, Max,453286,2021,37,59,63,0,0,0,0,0,28,0,44.4,0.0,.000,.000,.000,.000,.000,
Blackmon, Charlie,453568,2021,35,514,582,139,97,25,4,13,91,54,15.6,9.3,.270,.411,.351,.761,.333,
Maldonado, Martin,455117,2021,35,373,426,64,41,10,1,12,127,47,29.8,11.0,.172,.300,.272,.573,.258,
Chirinos, Robinson,455139,2021,37,97,112,22,11,5,1,5,36,9,32.1,8.0,.227,.454,.321,.775,.336,
Cain, Lorenzo,456715,2021,35,257,286,66,45,13,0,8,48,26,16.8,9.1,.257,.401,.329,.729,.319,
Solano, Donovan,456781,2021,34,307,344,86,62,17,0,7,58,25,16.9,7.3,.280,.404,.343,.747,.324,
McCutchen, Andrew,457705,2021,35,482,574,107,55,24,1,27,132,81,23.0,14.1,.222,.444,.334,.778,.335,
Upton, Justin,457708,2021,34,318,362,67,38,12,0,17,107,39,29.6,10.8,.211,.409,.296,.704,.305,
Turner, Justin,457759,2021,37,533,612,148,99,22,0,27,98,61,16.0,10.0,.278,.471,.361,.832,.358,
Posey III, Buster,457763,2021,34,395,454,120,79,23,0,18,87,56,19.2,12.3,.304,.499,.390,.889,.379,
Votto, Joey,458015,2021,38,448,533,119,59,23,1,36,127,77,23.8,14.4,.266,.563,.375,.938,.391,
Gardner, Brett,458731,2021,38,387,461,86,56,16,4,10,100,60,21.7,13.0,.222,.362,.323,.685,.305,
Joyce, Matt,459964,2021,37,55,69,5,2,1,0,2,16,12,23.2,17.4,.091,.218,.261,.479,.219,
Romine, Andrew,461865,2021,36,60,64,11,8,2,0,1,24,4,37.5,6.3,.183,.267,.234,.501,.223,
Andrus, Elvis,462101,2021,33,497,541,121,91,25,2,3,81,31,15.0,5.7,.243,.320,.292,.612,.270,
Sandoval, Pablo,467055,2021,35,73,86,13,9,0,0,4,25,11,29.1,12.8,.178,.342,.302,.645,.291,
Ramos, Wilson,467092,2021,34,151,163,31,18,5,0,8,36,9,22.1,5.5,.205,.397,.245,.643,.275,
Santana, Carlos,467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,.214,.342,.319,.660,.294,
Parra, Gerardo,467827,2021,34,97,107,23,16,5,0,2,30,6,28.0,5.6,.237,.351,.290,.640,.282,
Mercer, Jordy,474568,2021,35,118,127,30,21,7,0,2,34,9,26.8,7.1,.254,.364,.307,.671,.294,
Belt, Brandon,474832,2021,33,325,381,89,44,14,2,29,103,48,27.0,12.6,.274,.597,.378,.975,.406,
Zimmerman, Ryan,475582,2021,37,255,273,62,32,16,0,14,77,16,28.2,5.9,.243,.471,.286,.756,.319,
Lowrie, Jed,476704,2021,37,457,512,112,70,28,0,14,108,49,21.1,9.6,.245,.398,.318,.717,.311,
Avila, Alex,488671,2021,34,89,111,17,6,9,1,1,37,19,33.3,17.1,.191,.348,.342,.691,.311,
Brantley Jr., Michael,488726,2021,34,469,508,146,106,29,3,8,53,33,10.4,6.5,.311,.437,.362,.799,.347,
Castro, Jason,488771,2021,34,149,179,35,20,7,0,8,54,25,30.2,14.0,.235,.443,.352,.795,.347,
Miley, Wade,489119,2021,35,54,59,10,7,3,0,0,13,3,22.0,5.1,.185,.241,.220,.461,.210,
