last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_run,p_blown_save,p_win,p_loss,p_shutout,p_quality_start,p_complete_game,
Wainwright, Adam,425794,2021,40,32,206.1,174,72,0,17,7,1,22,3,
Greinke, Zack,425844,2021,38,30,171.0,120,82,0,11,6,0,15,1,
Santana, Ervin,429722,2021,39,38,65.1,52,35,0,2,2,0,0,0,
Petit, Yusmeiro,433589,2021,37,78,78.0,37,35,6,8,3,0,0,0,
Jansen, Kenley,445276,2021,34,69,69.0,86,21,5,4,4,0,0,0,
Kluber, Corey,446372,2021,35,16,80.0,82,37,0,5,3,1,4,1,
Hill, Rich,448179,2021,41,32,158.2,150,70,0,7,8,0,7,0,
Guerra, Junior,448855,2021,36,41,65.1,61,45,2,5,2,0,0,0,
Morton, Charlie,450203,2021,38,33,185.2,216,77,0,14,6,0,19,0,
Lester, Jon,452657,2021,37,28,141.1,91,84,0,7,6,0,7,0,
Bard, Daniel,453268,2021,36,67,65.2,80,41,8,7,8,0,0,0,
Scherzer, Max,453286,2021,37,30,179.1,236,53,0,15,4,0,18,1,
Melancon, Mark,453343,2021,36,64,64.2,59,21,6,4,3,0,0,0,
Arrieta, Jake,453562,2021,35,24,98.2,83,91,0,5,14,0,4,0,
Price, David,456034,2021,36,39,73.2,58,35,0,5,2,0,0,0,
Cueto, Johnny,456501,2021,35,22,114.2,98,57,0,7,7,0,4,0,
Happ, J.A.,457918,2021,39,30,152.1,122,100,0,10,8,0,7,0,
Lynn, Lance,458681,2021,34,28,157.0,176,52,0,11,6,1,13,1,
Chacin, Jhoulys,468504,2021,33,46,64.1,47,32,2,3,2,0,0,0,
Anderson, Brett,474463,2021,33,24,96.0,58,52,0,4,9,0,3,0,
Luetge, Lucas,476595,2021,34,57,72.1,78,30,2,4,2,0,0,0,
Kershaw, Clayton,477132,2021,33,22,121.2,144,51,0,10,8,0,11,0,
Miley, Wade,489119,2021,35,28,163.0,125,64,0,12,7,1,15,1,
Romo, Sergio,489265,2021,38,66,61.2,60,33,4,1,1,0,0,0,
Stammen, Craig,489334,2021,37,67,88.1,83,31,1,6,3,0,0,0,
Ottavino, Adam,493603,2021,36,69,62.0,71,31,6,7,3,0,0,0,
Guerra, Deolis,500610,2021,32,53,65.2,62,34,0,4,1,0,0,0,
Quintana, Jose,500779,2021,32,29,63.0,85,50,0,0,3,0,0,0,
Pineda, Michael,501381,2021,32,22,109.1,88,49,0,9,8,0,6,0,
Alvarez, Jose,501625,2021,32,67,64.2,42,23,0,5,2,0,0,0,
Minor, Mike,501985,2021,34,28,158.2,149,92,0,8,12,0,9,0,
